age,duration,campaign
56,261,1
57,149,1
37,226,1
40,151,1
56,307,1
45,198,1
59,139,1
41,217,1
24,380,1
25,50,1
41,55,1
25,222,1
29,137,1
57,293,1
35,146,1
54,174,1
35,312,1
46,440,1
50,353,1
39,195,1
30,38,1
55,262,1
55,342,1
41,181,1
37,172,1
35,99,1
59,93,1
39,233,1
54,255,2
55,362,1
46,348,1
59,386,1
49,73,1
54,230,1
54,208,1
55,336,1
34,365,1
52,1666,1
41,577,1
56,137,1
58,366,1
32,314,1
38,160,1
57,212,1
44,188,1
42,22,1
57,616,1
40,178,1
35,355,1
45,225,2
54,160,1
39,266,1
60,253,1
53,179,1
55,269,2
55,135,1
50,161,1
45,787,1
55,145,1
25,174,1
47,449,1
51,812,1
42,164,1
42,366,1
48,357,1
37,232,1
44,91,1
33,273,1
56,158,2
44,177,1
41,200,1
44,172,1
47,176,1
57,211,1
37,214,1
41,1575,1
55,349,1
33,337,2
55,272,1
42,208,1
50,193,1
51,212,1
38,165,2
49,1042,1
38,20,1
31,246,1
41,529,2
39,192,1
49,1467,1
34,188,2
35,180,2
57,48,1
60,213,2
33,545,1
42,583,1
45,221,1
42,426,1
53,287,1
37,197,1
44,257,1
54,229,1
49,55,3
54,400,1
52,197,1
52,190,1
43,21,1
34,300,2
35,123,2
42,293,1
43,325,1
60,514,1
58,849,2
35,194,1
55,212,2
37,337,2
36,286,1
52,247,2
57,518,1
56,364,1
48,178,1
40,98,1
49,439,1
41,139,1
45,79,1
32,175,1
42,262,2
50,61,1
31,78,1
56,102,2
41,579,1
37,143,1
41,677,1
35,267,1
37,345,1
52,185,1
39,207,1
39,69,2
56,100,2
34,125,2
45,461,1
43,240,1
56,70,1
39,193,1
53,136,1
38,73,1
42,528,1
42,541,1
35,338,1
40,163,1
51,87,1
60,301,1
56,46,1
39,52,1
56,204,1
40,155,1
36,98,1
51,71,1
51,243,1
43,186,2
59,579,2
24,165,2
37,163,2
40,46,1
42,559,3
39,2033,1
37,85,1
38,506,1
56,114,2
40,114,2
54,843,2
43,181,1
36,427,1
45,292,1
42,192,1
43,93,3
46,128,2
44,107,1
51,303,2
28,81,1
37,270,1
34,228,1
46,240,1
42,673,2
36,233,3
54,102,1
57,461,1
51,250,1
54,130,1
49,252,1
34,138,1
41,412,1
38,179,2
45,19,2
42,228,2
34,55,1
48,717,1
37,313,1
34,289,1
40,683,2
43,1077,1
33,146,2
32,167,1
39,356,2
43,277,1
44,172,1
35,218,1
35,217,1
35,67,1
36,291,1
35,248,1
36,256,1
55,286,1
59,477,1
57,611,2
39,471,1
39,381,2
30,251,1
30,408,1
50,287,1
40,322,3
35,216,2
43,366,2
36,210,1
46,288,1
40,168,1
58,132,1
42,64,2
35,209,2
43,410,3
45,177,1
39,580,2
50,165,1
32,127,2
39,357,1
52,175,1
44,300,1
56,136,1
48,125,2
33,189,2
43,213,3
57,238,2
36,124,1
34,18,1
34,730,2
30,40,1
33,181,2
32,79,1
36,142,2
36,389,1
33,702,1
40,151,1
41,211,1
51,117,1
36,232,3
28,408,2
53,370,3
58,179,2
45,46,1
43,200,1
33,50,1
33,181,1
27,119,1
42,361,1
43,73,3
42,67,2
27,350,1
34,150,2
31,332,2
54,611,2
40,58,3
52,151,1
47,89,2
49,152,1
32,611,2
49,110,2
50,463,1
34,962,1
55,102,2
47,10,4
51,118,3
47,92,2
56,143,3
53,189,3
36,75,2
42,189,2
44,55,2
39,935,3
37,56,2
60,5,2
36,225,2
42,125,2
31,286,2
53,206,2
45,164,2
37,98,2
47,446,2
49,742,2
36,120,2
35,122,3
38,362,4
38,357,2
50,200,2
59,107,2
43,267,2
42,248,2
40,215,2
46,209,2
57,205,2
42,261,3
41,83,2
54,106,3
27,106,2
36,108,2
58,214,2
40,358,2
34,453,2
33,364,2
56,136,2
42,173,2
43,241,2
54,224,3
53,148,2
42,230,2
40,199,3
54,196,2
40,111,4
26,231,3
33,316,3
35,240,2
36,669,3
29,425,2
36,121,2
35,174,5
50,88,5
46,313,3
49,135,4
42,152,2
36,402,3
55,221,2
41,213,2
57,144,3
32,158,3
49,220,3
57,325,2
58,254,2
52,503,2
50,680,2
41,421,4
33,130,3
57,164,2
48,174,3
55,113,2
38,195,2
38,347,3
53,208,2
43,404,4
36,396,2
32,98,2
33,229,3
58,350,2
40,88,3
57,379,2
45,168,3
42,190,3
46,158,1
36,210,1
41,102,1
57,306,1
49,64,1
56,218,1
37,77,1
37,54,1
46,344,1
22,195,1
43,202,1
49,286,1
41,278,1
38,189,1
33,83,1
49,18,1
30,184,2
33,235,1
34,290,1
30,133,1
59,318,1
59,437,1
41,402,1
48,501,4
28,1201,1
44,1030,1
59,253,1
50,149,1
35,144,1
42,69,1
45,243,1
36,769,2
56,135,3
29,231,1
41,442,2
42,199,1
52,455,1
48,152,1
31,124,1
43,424,1
36,43,1
42,154,1
52,393,1
39,203,2
36,140,2
42,326,1
41,483,1
55,259,1
30,227,1
57,673,1
45,576,1
51,180,2
39,90,1
47,505,1
27,245,1
34,186,1
57,208,1
43,623,1
49,180,1
39,496,3
38,118,1
49,102,2
58,342,1
43,225,1
50,185,3
31,276,1
43,87,1
43,744,1
30,262,1
27,271,1
51,141,1
37,198,2
46,150,1
35,241,1
47,196,1
46,149,1
40,264,1
26,246,1
32,309,2
45,140,1
34,175,1
47,136,1
42,1623,1
57,50,1
57,101,1
38,144,1
57,238,1
28,354,1
60,451,2
48,159,1
47,170,1
40,243,1
51,141,2
48,112,1
54,262,2
40,53,1
44,134,1
42,204,4
52,678,1
31,182,1
32,162,1
44,177,1
39,27,1
57,699,3
52,358,1
42,1677,1
42,529,1
43,310,1
31,47,1
29,379,1
57,30,2
44,472,1
59,113,1
39,114,1
57,116,1
41,448,1
37,264,1
38,169,1
42,145,1
49,288,1
54,381,1
36,176,2
32,215,1
35,278,1
45,188,2
56,174,2
34,226,2
41,111,2
41,157,2
36,46,1
32,49,1
31,374,1
38,349,1
35,325,1
53,233,2
51,531,1
56,153,1
33,80,1
33,198,1
51,568,1
39,918,1
45,82,1
40,198,3
60,211,1
33,120,1
47,269,1
48,128,1
43,166,2
37,211,1
50,369,1
59,91,1
32,267,2
42,198,1
52,371,2
42,288,2
42,221,1
40,427,1
38,310,1
39,158,1
39,198,1
38,145,1
47,247,1
30,102,1
38,179,2
39,73,1
44,263,2
36,342,2
41,41,1
41,13,1
35,79,2
41,358,1
36,162,1
35,150,1
33,26,1
38,250,1
33,792,1
55,146,1
36,440,1
57,289,1
32,242,2
30,123,1
43,161,2
46,268,2
35,259,2
34,26,1
50,153,1
39,424,2
39,375,1
42,179,2
57,383,1
45,440,1
40,195,1
42,1297,3
40,217,1
38,87,1
39,427,1
41,189,1
39,502,1
41,260,1
45,209,1
35,179,1
35,179,1
49,69,1
36,105,2
23,266,3
43,87,2
49,524,2
36,155,2
51,162,2
56,316,4
45,352,2
42,695,3
41,76,4
32,535,2
46,310,2
37,390,3
53,369,1
30,112,2
45,79,1
24,140,2
45,315,1
34,262,2
41,174,2
59,424,2
45,135,1
54,36,5
32,1906,3
33,219,2
32,135,1
34,147,2
46,407,2
57,402,4
42,209,1
48,92,2
58,208,1
34,193,1
32,65,1
48,284,2
47,285,1
31,231,1
32,278,1
32,389,1
36,158,1
53,78,2
37,258,5
50,87,1
46,147,2
41,635,1
43,289,1
51,170,3
38,802,1
41,381,2
39,218,4
52,57,2
37,304,2
41,241,3
46,230,1
47,79,4
35,262,3
38,392,2
30,201,2
46,145,1
30,252,1
35,329,1
58,328,2
40,191,2
34,116,2
30,246,1
38,532,2
55,293,1
55,416,3
45,37,2
36,132,2
32,530,2
35,175,3
55,90,5
49,524,2
29,29,3
34,311,2
54,412,1
36,211,2
30,312,3
33,392,1
37,191,1
36,284,2
33,328,1
32,100,1
32,226,1
50,507,1
39,333,2
51,128,2
33,322,2
33,202,4
56,92,2
39,205,2
33,739,3
59,273,2
42,339,3
43,262,1
35,308,3
46,467,2
27,245,2
47,160,3
31,189,2
32,477,1
54,65,3
56,191,1
48,196,2
44,221,2
46,197,2
45,178,2
43,221,2
40,64,2
56,75,2
47,400,2
39,378,3
48,118,2
45,1597,2
36,346,2
49,107,2
46,60,3
38,276,2
50,176,2
27,390,2
40,251,3
46,716,2
40,189,3
33,125,2
54,234,2
52,79,2
53,13,6
49,296,3
42,114,2
49,283,3
40,109,2
59,132,2
51,144,2
57,121,2
38,95,3
52,31,3
26,112,3
35,161,2
51,87,4
43,593,2
42,99,2
60,198,2
36,285,2
57,190,3
35,172,5
30,178,2
43,174,2
40,631,2
45,152,3
56,176,5
46,32,3
41,1529,2
42,254,2
56,214,2
43,147,3
34,800,4
38,106,2
40,135,2
38,112,4
48,222,2
27,314,3
24,421,2
47,410,2
48,207,3
31,239,2
39,83,4
41,160,3
49,42,3
56,55,2
49,157,2
47,303,3
44,336,3
48,233,2
55,211,2
59,88,5
44,139,2
46,329,3
39,305,2
38,206,2
36,128,2
29,122,3
31,343,3
30,126,2
36,249,3
60,59,3
36,166,3
32,190,3
39,216,2
30,51,3
39,169,3
37,148,3
39,132,3
46,117,3
43,275,4
37,124,2
30,118,3
38,479,2
31,285,3
44,322,2
44,202,2
38,162,2
30,216,3
37,195,2
54,96,2
41,149,2
43,720,2
38,92,2
41,188,2
38,70,2
33,141,3
32,395,2
30,629,2
43,261,3
30,502,1
36,446,1
38,131,3
35,198,3
50,312,1
38,275,6
58,120,2
50,333,4
33,113,1
33,150,1
44,91,1
31,296,1
40,128,3
28,298,1
36,326,1
44,292,1
38,215,1
33,97,1
39,32,1
47,162,1
47,421,1
35,268,1
42,232,1
36,152,3
35,104,2
36,852,1
56,159,2
26,416,2
31,174,1
57,139,1
39,193,1
43,294,1
50,102,1
52,124,1
39,143,1
44,231,1
36,128,1
54,74,1
27,105,2
31,992,1
31,168,1
28,250,1
31,254,1
30,149,1
52,133,2
37,374,1
30,425,6
45,207,1
54,464,1
49,439,1
44,83,3
28,732,2
53,149,1
45,142,1
45,121,1
51,359,1
41,112,1
43,274,4
31,325,2
39,1521,1
38,216,1
50,161,1
53,122,2
44,800,1
53,615,1
24,111,1
34,359,1
40,327,3
57,236,1
43,227,1
31,109,1
31,492,2
31,298,1
45,83,2
38,241,2
41,1138,1
47,131,1
42,123,1
35,125,1
40,295,2
42,287,1
34,109,1
48,140,2
35,52,1
33,233,1
37,254,1
43,255,1
42,126,1
46,184,2
37,591,1
40,294,1
40,285,1
59,173,1
43,336,1
44,344,1
44,786,1
41,153,1
28,99,2
48,243,1
31,260,1
27,164,2
43,255,2
47,47,1
40,110,2
43,463,1
29,192,1
54,388,7
36,221,1
30,25,1
38,256,6
39,104,1
33,283,2
39,448,1
38,127,1
44,378,1
33,67,1
37,221,2
32,150,1
46,144,2
34,296,2
52,161,1
46,401,2
57,435,2
52,388,1
32,245,1
31,143,1
46,423,1
59,231,1
38,181,1
42,107,1
40,227,1
46,69,1
35,799,1
28,109,1
47,127,1
35,45,1
48,120,1
40,68,3
32,180,2
59,112,3
48,444,1
45,246,2
49,148,4
51,223,3
38,566,2
53,274,2
49,49,3
31,97,2
36,376,2
54,421,2
29,511,2
31,121,2
35,157,2
38,101,1
54,328,2
48,19,1
48,866,2
32,229,3
34,154,2
49,56,1
44,199,1
42,117,1
55,1581,2
42,185,1
44,202,1
51,279,1
43,180,5
52,530,2
45,129,5
41,60,1
35,432,1
41,516,1
46,617,1
36,179,2
29,125,2
47,262,2
43,396,2
38,294,2
44,171,2
29,614,2
58,118,3
48,485,4
46,406,2
31,287,1
47,216,2
44,37,2
31,650,1
38,590,3
33,55,1
53,166,1
33,371,2
33,48,1
37,72,1
55,55,1
41,92,1
46,196,2
32,96,1
48,144,1
34,474,1
35,559,1
55,1101,1
45,229,3
48,236,2
34,164,1
46,93,1
34,123,1
51,912,2
37,209,2
54,485,1
45,206,2
39,239,2
39,311,1
39,362,1
39,274,1
32,163,1
41,345,1
59,329,1
57,68,1
30,143,3
34,214,2
34,1062,1
38,258,3
31,253,2
47,106,1
57,688,2
44,103,3
45,349,2
36,170,1
44,78,5
51,194,1
28,126,1
50,224,5
51,98,1
38,252,5
44,607,1
35,331,1
35,398,1
32,103,2
48,241,2
35,803,1
44,203,1
43,96,3
40,238,3
50,153,3
44,481,1
37,119,3
32,245,2
58,152,2
49,418,2
32,421,2
30,198,2
28,175,1
40,374,1
44,51,1
30,263,1
30,257,1
28,229,2
58,154,2
45,278,6
35,306,5
57,114,2
35,24,2
41,79,8
42,169,2
42,332,2
51,263,6
48,353,3
39,108,6
47,441,2
34,46,3
44,266,2
52,222,4
51,1009,3
49,105,2
35,381,2
44,228,3
37,128,2
47,550,3
43,764,3
40,113,3
32,396,4
42,42,2
42,234,4
39,50,2
32,110,2
30,274,4
42,191,4
35,305,3
56,134,2
40,112,4
26,217,2
57,283,3
51,353,4
31,212,2
31,225,2
60,283,1
29,1273,1
44,1574,2
26,139,3
54,62,5
34,256,3
29,245,2
33,161,2
35,245,3
42,89,3
53,591,3
51,113,2
59,517,3
51,193,3
36,231,2
47,348,3
51,299,2
42,103,4
40,253,8
26,73,2
45,164,5
51,244,7
42,191,2
31,157,6
38,548,2
51,114,3
39,126,5
36,161,3
60,333,1
34,155,1
41,152,3
34,145,1
36,66,3
33,123,2
46,74,1
44,248,3
30,275,2
34,984,1
54,1689,4
58,84,2
29,27,3
41,130,4
53,489,2
35,41,3
34,159,3
36,276,4
31,196,2
59,81,2
49,865,2
37,149,1
50,281,2
34,122,5
32,361,2
45,944,3
39,319,3
43,35,3
43,143,2
52,22,2
54,90,2
54,505,2
31,17,2
35,404,5
28,238,2
56,71,4
35,309,2
45,408,3
38,157,3
42,280,3
44,374,2
58,365,4
43,177,3
37,238,3
45,31,2
59,425,6
50,77,2
41,223,2
33,239,2
46,116,2
30,308,3
28,137,2
58,162,2
43,134,1
39,175,5
25,125,3
39,211,3
42,180,1
43,67,1
43,196,1
33,342,1
52,156,1
42,813,1
53,178,1
41,142,1
48,194,1
40,132,1
40,110,1
53,109,1
55,94,1
39,31,1
35,220,1
50,489,1
38,180,1
41,314,1
44,203,1
39,328,2
44,207,1
51,193,1
41,177,2
31,528,1
40,183,1
38,238,1
48,61,1
32,70,1
46,541,3
49,41,1
47,93,1
28,149,1
38,35,1
28,262,1
51,151,1
50,135,2
38,221,1
48,604,1
44,86,1
30,65,1
34,380,3
36,11,1
41,184,2
40,405,1
35,20,1
46,202,1
35,235,1
32,75,1
34,134,1
35,255,1
28,462,1
30,80,1
48,56,1
53,418,1
31,139,2
59,96,2
51,39,1
47,231,2
40,66,2
42,204,1
30,159,1
40,129,2
30,200,1
50,187,3
36,166,1
29,144,1
43,323,1
35,194,1
35,82,1
48,521,7
49,269,1
44,285,1
32,1119,1
55,294,1
41,106,1
27,158,1
41,152,1
36,12,2
45,187,1
36,268,1
54,193,1
48,95,1
32,60,1
33,206,1
43,155,1
44,216,1
50,103,3
32,107,1
43,219,1
32,147,1
43,190,1
40,339,2
24,198,1
32,141,1
43,255,1
43,1120,2
35,369,1
33,226,1
43,215,1
48,306,1
52,249,1
49,143,1
30,162,1
36,81,1
39,124,1
39,124,1
36,33,4
39,393,1
31,784,1
41,87,2
35,108,2
55,207,1
57,278,2
38,196,1
52,149,1
60,154,1
24,287,2
38,229,1
44,21,1
42,191,1
25,147,1
32,93,1
51,665,1
28,131,1
27,160,1
35,74,1
45,60,1
30,97,2
60,82,1
28,475,1
45,111,1
37,140,1
37,110,1
36,64,1
49,149,1
35,156,1
34,63,3
31,362,1
42,712,1
39,338,2
33,102,2
38,446,1
30,249,2
31,176,1
39,1007,1
37,266,1
48,172,1
32,175,1
48,211,2
37,237,1
37,500,1
26,186,1
33,96,1
54,98,1
37,364,4
35,477,1
45,319,1
33,789,1
54,513,1
37,280,2
35,170,1
33,365,1
49,63,2
43,159,4
43,177,2
39,108,3
47,194,3
30,366,2
51,213,1
59,166,1
31,141,1
39,168,2
43,468,1
30,180,1
37,195,1
42,352,3
37,91,1
37,93,2
37,288,1
36,218,2
48,289,1
43,130,3
28,208,1
30,177,1
60,442,2
31,101,1
38,166,1
50,756,1
36,342,1
50,189,1
54,108,1
33,178,2
20,238,1
24,226,1
28,136,1
55,14,1
25,250,1
41,161,1
39,269,3
27,491,1
27,44,1
34,26,1
25,22,1
48,293,2
36,989,1
36,147,5
27,1170,1
45,807,2
28,347,2
30,58,2
43,534,2
32,155,2
29,159,2
35,343,2
43,152,2
35,461,3
36,389,2
36,90,2
48,314,3
38,28,3
38,30,2
45,103,4
35,32,2
42,252,2
56,20,2
30,369,2
45,116,1
39,302,2
36,31,1
32,190,1
29,149,1
34,210,1
36,180,2
33,234,1
43,92,1
31,2087,2
35,102,1
42,193,1
35,245,1
44,190,1
36,223,2
47,42,1
59,206,2
29,242,2
30,66,2
38,173,2
45,477,2
28,77,1
37,219,2
38,205,2
28,376,2
31,453,2
37,151,2
36,767,5
54,200,2
53,298,5
43,305,2
49,627,3
32,242,1
36,287,1
50,184,1
51,119,2
38,403,2
44,626,6
29,12,1
46,266,1
32,23,4
43,154,2
53,10,7
43,301,2
35,240,3
49,312,3
35,224,2
40,202,2
29,144,3
43,263,2
47,543,3
38,257,2
48,237,2
53,23,5
53,209,3
51,1178,2
35,442,2
31,1120,2
46,186,2
28,318,2
38,617,2
28,226,1
50,275,1
32,81,2
31,74,7
39,285,1
41,261,5
31,151,2
54,422,2
34,159,2
51,102,2
45,78,3
32,15,1
28,352,2
40,345,2
55,230,4
41,296,1
57,185,2
44,181,2
29,133,2
38,335,9
34,139,1
36,163,2
39,956,2
30,166,2
35,95,2
60,71,2
35,191,2
38,459,2
57,100,5
44,233,2
40,255,6
46,128,2
50,56,2
45,4,3
57,43,2
35,210,2
38,21,9
30,67,2
25,219,4
52,169,2
37,248,3
60,223,2
42,92,3
37,112,3
43,205,4
33,155,2
32,105,2
41,112,2
37,383,3
39,193,2
36,207,2
38,132,2
33,10,2
41,985,2
58,249,5
44,122,2
36,300,2
33,672,3
30,390,3
44,116,2
32,21,3
38,192,2
41,8,2
40,13,2
33,369,2
28,393,2
46,246,3
35,330,3
40,91,3
36,84,2
38,277,3
36,399,4
40,89,4
31,297,2
47,111,3
35,170,2
29,141,2
29,886,2
35,49,4
33,89,7
41,341,2
54,461,3
31,515,3
55,123,2
38,179,5
41,102,4
49,272,4
39,17,3
34,291,2
39,209,3
37,1187,2
45,89,5
49,123,2
43,200,2
40,104,3
42,117,3
47,37,3
56,51,3
43,627,4
34,466,2
29,101,2
53,303,3
50,283,3
51,826,3
20,598,3
41,120,5
47,185,7
48,220,2
29,423,2
28,337,4
31,99,3
29,27,3
42,160,3
40,201,2
33,166,3
33,182,1
34,271,5
36,103,3
35,379,4
38,287,4
31,732,2
30,126,3
42,172,4
27,43,2
39,109,4
38,191,2
30,117,2
52,64,1
38,260,5
54,207,3
29,128,3
32,180,2
28,144,2
30,110,4
44,203,4
37,85,2
48,211,2
25,94,2
49,122,4
60,175,5
29,132,5
55,130,2
41,208,2
39,346,4
39,205,1
31,218,1
38,62,1
32,93,5
53,85,2
37,97,1
34,252,4
31,286,1
39,241,1
39,283,1
39,380,1
37,584,1
30,371,1
32,274,1
37,71,3
27,357,1
32,617,4
33,215,1
47,131,1
40,188,1
38,383,3
33,483,3
54,847,1
51,57,2
41,306,1
51,147,1
55,244,1
39,59,1
37,24,1
39,85,2
33,70,1
33,21,1
59,659,2
55,327,2
53,267,1
36,296,3
40,307,1
37,120,1
56,390,2
32,83,2
38,772,1
28,143,1
30,198,1
45,100,1
60,929,3
32,21,3
39,254,1
56,166,1
31,93,1
20,217,2
42,134,2
46,375,2
28,352,1
41,45,1
33,93,1
43,165,1
43,266,1
47,237,1
24,410,1
31,157,1
25,72,2
35,171,1
58,70,3
35,710,1
35,131,3
25,498,1
31,514,1
39,127,1
39,162,1
37,198,1
36,705,1
45,239,1
30,117,1
60,155,1
37,18,1
28,386,1
45,138,1
31,341,1
49,339,2
46,232,1
36,208,1
33,44,1
27,75,1
60,485,1
60,576,1
27,280,1
39,480,2
39,86,2
35,121,4
56,93,2
39,238,2
35,399,3
35,93,2
58,106,1
29,123,1
32,92,2
35,219,1
26,2462,1
31,114,1
33,1132,2
39,249,3
49,210,1
31,187,1
31,172,1
49,122,1
49,207,1
31,136,2
36,117,2
52,393,1
37,107,1
40,25,1
36,136,1
34,384,2
39,38,1
39,164,1
58,825,1
56,331,1
29,479,2
39,229,2
31,258,2
60,490,1
39,308,1
49,137,1
45,545,2
32,109,1
41,257,6
32,213,2
46,115,1
28,646,1
51,202,1
50,106,1
35,95,2
24,64,1
51,653,1
59,186,1
33,205,1
36,122,1
24,377,1
30,322,1
49,208,3
38,46,2
34,211,2
25,156,2
35,471,2
43,206,2
36,544,1
36,143,1
37,200,3
36,71,1
32,324,2
33,164,5
42,137,3
37,87,2
35,91,2
50,280,1
48,230,2
50,63,1
39,135,1
33,261,1
29,215,2
33,125,1
41,391,2
46,107,3
27,108,2
42,145,2
44,142,2
37,106,1
24,134,1
30,190,1
53,241,1
36,180,1
24,654,1
49,189,1
41,70,1
40,1087,2
40,62,1
49,323,1
25,111,2
34,197,4
34,224,3
28,557,1
39,150,2
34,388,2
36,194,1
60,57,2
32,209,3
40,188,1
56,342,1
36,84,1
27,530,2
33,97,1
36,365,1
47,285,1
47,352,1
40,316,3
30,79,4
37,331,2
39,126,2
58,76,2
32,1692,2
34,24,1
43,73,1
30,253,1
52,622,1
46,133,1
32,178,1
53,404,2
45,275,1
31,109,1
51,134,1
45,225,1
32,129,1
43,93,3
34,20,1
25,247,1
41,129,3
25,324,1
43,2016,2
34,1054,2
44,163,2
59,279,2
39,251,2
52,113,4
50,193,2
42,125,3
30,282,2
49,344,2
44,665,2
41,67,3
27,167,4
32,395,1
27,137,2
29,118,1
53,231,2
30,128,1
29,174,1
32,195,1
55,412,1
39,127,1
37,79,1
26,13,1
52,61,1
28,286,5
33,274,2
60,409,3
45,325,1
32,144,2
50,1713,1
47,241,2
40,338,3
45,182,1
52,346,3
43,204,2
40,296,2
43,551,2
28,663,3
36,338,4
37,153,1
32,188,2
26,305,2
35,1080,5
56,1461,2
56,116,1
37,129,2
43,98,3
41,262,1
55,147,7
43,150,1
29,282,2
31,332,2
39,94,1
38,455,1
56,49,1
36,181,1
54,345,9
34,154,3
28,294,2
34,750,7
45,202,2
59,191,2
46,106,1
25,214,2
33,128,1
27,70,1
33,279,1
56,400,2
25,231,2
30,175,2
38,70,4
37,179,2
58,107,4
28,142,2
42,119,2
36,180,3
52,135,2
33,213,2
33,136,2
29,44,3
34,229,5
50,184,2
38,32,2
33,73,4
42,126,2
52,83,4
28,379,2
56,26,2
35,169,2
33,179,2
32,280,1
50,89,2
29,210,3
30,393,2
46,128,3
26,161,2
34,1178,4
46,182,7
33,178,2
50,177,2
31,191,2
48,245,4
57,255,2
45,488,2
50,211,2
44,226,2
44,460,2
32,432,2
37,136,3
34,176,2
27,162,2
40,237,3
39,134,3
29,44,2
34,47,5
25,483,1
29,116,3
44,182,3
33,122,2
33,232,2
40,51,3
59,260,4
38,214,2
41,407,4
33,389,2
36,31,3
48,145,3
44,115,2
50,878,3
35,268,2
51,277,3
24,101,6
32,119,2
56,185,2
50,162,2
38,18,7
25,317,2
28,71,3
41,43,2
34,298,2
27,86,4
31,255,2
39,83,3
26,194,3
37,268,3
25,97,1
33,263,5
40,338,4
37,180,2
46,322,5
53,64,4
32,71,4
43,284,4
38,166,3
26,210,3
52,160,3
54,77,2
51,328,7
42,164,8
41,154,2
26,155,3
38,153,4
54,111,2
41,91,3
26,213,4
43,257,3
28,315,4
35,102,3
45,35,3
40,83,3
37,834,9
52,244,5
36,143,3
40,277,3
43,1534,2
36,291,4
36,163,2
43,149,6
44,33,4
49,144,6
56,146,4
39,40,3
29,79,6
41,112,2
47,147,5
38,836,4
36,290,5
46,148,2
47,289,5
47,345,2
42,1002,5
42,181,4
59,460,5
33,129,2
48,76,2
53,111,2
57,98,3
34,221,2
51,150,7
39,399,3
45,139,6
37,115,4
44,149,5
48,327,2
59,92,4
44,111,2
50,192,2
35,88,5
53,592,2
41,105,3
55,62,2
36,114,5
37,59,4
36,144,7
45,346,4
